lane_id,strategy_id,source_instrument,runtime_status,governance_status,routing_mode,local_paper_trading_enabled,recent_local_trades_count,recent_local_open_timestamp,recent_local_close_timestamp,current_app_internal_position,current_broker_attributed_position,recent_trade_path,ibkr_submit_capable,eligible_for_ibkr_paper_routing,exact_blocker,intent_action,submit_block_reasons,realized_pnl,unrealized_pnl,total_net_pnl,average_trade,win_rate,profit_factor,max_drawdown,max_consecutive_losers,rejection_count,reconciliation_error_count,open_order_ambiguity_count
mnq_1x_ny_early_core__us_early_long,index_futures_ny_intraday_forced_core_v2__MNQ,MNQ,READY,WATCHLIST,LEGACY_LOCAL_PAPER,True,5,2026-04-27T12:31:42.911642+00:00,2026-04-27T12:31:42.948031+00:00,FLAT 0.0,FLAT 0.0,INTERNAL_ONLY,False,False,unsupported_instrument_scope,NO_ACTION,unsupported_instrument_scope,-56.50,0.00,-56.50,-11.30,0.00,0.00,56.50,5,0,0,0
mnq_1x_ny_early_core__us_early_short_breakdown,index_futures_ny_intraday_forced_core_v2__MNQ,MNQ,READY,WATCHLIST,LEGACY_LOCAL_PAPER,True,4,2026-04-27T12:31:48.996770+00:00,2026-04-27T12:31:49.608957+00:00,FLAT 0.0,FLAT 0.0,INTERNAL_ONLY,False,False,unsupported_instrument_scope,NO_ACTION,unsupported_instrument_scope,90.00,0.00,90.00,22.50,75.00,4.53,25.50,1,0,0,0
mnq_1x_ny_early_core__us_early_short_reclaim_fail,index_futures_ny_intraday_forced_core_v2__MNQ,MNQ,READY,WATCHLIST,LEGACY_LOCAL_PAPER,True,4,2026-04-27T12:31:55.582303+00:00,2026-04-27T12:31:56.254912+00:00,FLAT 0.0,FLAT 0.0,INTERNAL_ONLY,False,False,unsupported_instrument_scope,NO_ACTION,unsupported_instrument_scope,90.00,0.00,90.00,22.50,75.00,4.53,25.50,1,0,0,0
mnq_1x_ny_early_core__us_late_long,index_futures_ny_intraday_forced_core_v2__MNQ,MNQ,READY,WATCHLIST,LEGACY_LOCAL_PAPER,True,6,2026-04-28T17:35:49.914564+00:00,2026-04-28T17:50:15.274906+00:00,FLAT 0.0,FLAT 0.0,INTERNAL_ONLY,False,False,unsupported_instrument_scope,NO_ACTION,unsupported_instrument_scope,-98.00,0.00,-98.00,-16.33,33.33,0.28,132.00,3,0,0,0
mnq_1x_ny_early_core__us_late_short_reclaim_fail,index_futures_ny_intraday_forced_core_v2__MNQ,MNQ,READY,WATCHLIST,LEGACY_LOCAL_PAPER,True,6,2026-04-28T17:40:32.871227+00:00,2026-04-28T17:40:33.056626+00:00,FLAT 0.0,FLAT 0.0,INTERNAL_ONLY,False,False,unsupported_instrument_scope,NO_ACTION,unsupported_instrument_scope,124.50,0.00,124.50,20.75,83.33,6.19,24.00,1,0,0,0
mnq_1x_ny_early_core__us_midday_long,index_futures_ny_intraday_forced_core_v2__MNQ,MNQ,READY,WATCHLIST,LEGACY_LOCAL_PAPER,True,5,2026-04-28T15:38:47.490785+00:00,2026-04-28T15:38:47.525439+00:00,FLAT 0.0,FLAT 0.0,INTERNAL_ONLY,False,False,unsupported_instrument_scope,NO_ACTION,unsupported_instrument_scope,129.00,0.00,129.00,25.80,60.00,3.43,32.50,1,0,0,0
mnq_1x_ny_early_core__us_midday_short_breakdown,index_futures_ny_intraday_forced_core_v2__MNQ,MNQ,READY,WATCHLIST,LEGACY_LOCAL_PAPER,True,5,2026-04-28T15:39:30.774535+00:00,2026-04-28T15:39:31.461800+00:00,FLAT 0.0,FLAT 0.0,INTERNAL_ONLY,False,False,unsupported_instrument_scope,NO_ACTION,unsupported_instrument_scope,-119.00,0.00,-119.00,-23.80,0.00,0.00,119.00,5,0,0,0
nq_1x_asia_london_participation__asia_london_long_v5,asia_london_participation_core_v1__NQ,NQ,READY,WATCHLIST,LEGACY_LOCAL_PAPER,True,0,,,FLAT 0.0,FLAT 0.0,NONE,False,False,unsupported_instrument_scope,NO_ACTION,unsupported_instrument_scope,0.00,0.00,0.00,,,,0.00,,0,0,0
nq_1x_asia_london_participation__asia_london_long_v6,asia_london_participation_core_v1__NQ,NQ,READY,WATCHLIST,LEGACY_LOCAL_PAPER,True,0,,,FLAT 0.0,FLAT 0.0,NONE,False,False,unsupported_instrument_scope,NO_ACTION,unsupported_instrument_scope,0.00,0.00,0.00,,,,0.00,,0,0,0
nq_1x_asia_london_participation__asia_london_short_v2,asia_london_participation_core_v1__NQ,NQ,READY,WATCHLIST,LEGACY_LOCAL_PAPER,True,1,2026-04-28T22:10:20.041057+00:00,2026-04-28T23:06:12.130698+00:00,FLAT 0.0,FLAT 0.0,INTERNAL_ONLY,False,False,unsupported_instrument_scope,NO_ACTION,unsupported_instrument_scope,5295.00,0.00,5295.00,5295.00,100.00,999.00,0.00,0,0,0,0
nq_1x_ny_early_core__us_early_long,index_futures_ny_intraday_forced_core_v2__NQ,NQ,READY,WATCHLIST,LEGACY_LOCAL_PAPER,True,5,2026-04-27T12:28:03.680694+00:00,2026-04-27T12:34:47.938650+00:00,FLAT 0.0,FLAT 0.0,INTERNAL_ONLY,False,False,unsupported_instrument_scope,NO_ACTION,unsupported_instrument_scope,-680.00,0.00,-680.00,-136.00,0.00,0.00,680.00,4,0,0,0
nq_1x_ny_early_core__us_early_short_breakdown,index_futures_ny_intraday_forced_core_v2__NQ,NQ,READY,WATCHLIST,LEGACY_LOCAL_PAPER,True,4,2026-04-27T12:28:46.557879+00:00,2026-04-27T12:34:54.238126+00:00,FLAT 0.0,FLAT 0.0,INTERNAL_ONLY,False,False,unsupported_instrument_scope,NO_ACTION,unsupported_instrument_scope,990.00,0.00,990.00,247.50,75.00,6.21,190.00,1,0,0,0
nq_1x_ny_early_core__us_early_short_reclaim_fail,index_futures_ny_intraday_forced_core_v2__NQ,NQ,READY,WATCHLIST,LEGACY_LOCAL_PAPER,True,4,2026-04-27T12:29:29.807022+00:00,2026-04-27T12:35:00.470917+00:00,FLAT 0.0,FLAT 0.0,INTERNAL_ONLY,False,False,unsupported_instrument_scope,NO_ACTION,unsupported_instrument_scope,690.00,0.00,690.00,172.50,75.00,2.41,490.00,1,0,0,0
nq_1x_ny_early_core__us_late_long,index_futures_ny_intraday_forced_core_v2__NQ,NQ,READY,WATCHLIST,LEGACY_LOCAL_PAPER,True,6,2026-04-28T17:40:22.994077+00:00,2026-04-28T18:03:21.220104+00:00,FLAT 0.0,FLAT 0.0,INTERNAL_ONLY,False,False,unsupported_instrument_scope,NO_ACTION,unsupported_instrument_scope,1130.00,0.00,1130.00,188.33,50.00,2.35,520.00,2,0,0,0
nq_1x_ny_early_core__us_late_short_reclaim_fail,index_futures_ny_intraday_forced_core_v2__NQ,NQ,READY,WATCHLIST,LEGACY_LOCAL_PAPER,True,7,2026-04-28T17:40:25.794611+00:00,2026-04-28T17:40:25.825956+00:00,FLAT 0.0,FLAT 0.0,INTERNAL_ONLY,False,False,unsupported_instrument_scope,NO_ACTION,unsupported_instrument_scope,-1050.00,0.00,-1050.00,-150.00,71.43,0.49,2040.00,2,0,0,0
nq_1x_ny_early_core__us_midday_long,index_futures_ny_intraday_forced_core_v2__NQ,NQ,READY,WATCHLIST,LEGACY_LOCAL_PAPER,True,5,2026-04-28T15:33:49.395642+00:00,2026-04-28T15:33:49.444864+00:00,FLAT 0.0,FLAT 0.0,INTERNAL_ONLY,False,False,unsupported_instrument_scope,NO_ACTION,unsupported_instrument_scope,1515.00,0.00,1515.00,303.00,60.00,5.59,195.00,1,0,0,0
nq_1x_ny_early_core__us_midday_short_breakdown,index_futures_ny_intraday_forced_core_v2__NQ,NQ,READY,WATCHLIST,LEGACY_LOCAL_PAPER,True,5,2026-04-28T15:34:37.793826+00:00,2026-04-28T15:34:37.997138+00:00,FLAT 0.0,FLAT 0.0,INTERNAL_ONLY,False,False,unsupported_instrument_scope,NO_ACTION,unsupported_instrument_scope,-1200.00,0.00,-1200.00,-240.00,20.00,0.10,1200.00,3,0,0,0
