instrument_expression,scenario_id,scenario_label,decomposition_axis,bucket,trade_count,total_gross_pnl_cash,total_fees_cash,total_slippage_cash,total_net_pnl_cash,average_net_trade_cash,median_net_trade_cash,win_rate,profit_factor,max_drawdown,largest_win,largest_loss,max_consecutive_losers
MGC,MGC_FEE_ONLY,MGC fee-only,exit_reason,stop_first_conflict,4,-85.95,6.0,0.0,-91.95,-22.9875,-21.5312,0.0,0.0,91.95,-15.8667,-33.0208,4
MGC,MGC_FEE_ONLY,MGC fee-only,exit_reason,target,1855,86486.64,2782.5,0.0,83704.14,45.1235,31.26,100.0,83704.14,0.0,433.5933,5.0,0
MGC,MGC_FEE_ONLY,MGC fee-only,exit_reason,time_stop,2402,-5769.0,3603.0,0.0,-9372.0,-3.9017,-2.5,42.2565,0.6925,9600.0,605.5,-407.5,16
MGC,MGC_SLIPPAGE_ONLY,MGC slippage-only,session,ASIA,1947,16334.8325,0.0,9735.0,6599.8325,3.3897,3.0,52.6451,1.2153,2003.3125,602.0,-547.2417,11
MGC,MGC_SLIPPAGE_ONLY,MGC slippage-only,session,US,3018,22047.4825,0.0,15090.0,6957.4825,2.3053,4.0,53.446,1.1367,1697.3975,430.0933,-584.7333,10
MGC,MGC_SLIPPAGE_ONLY,MGC slippage-only,year,2024,2095,8911.1417,0.0,10475.0,-1563.8583,-0.7465,0.0,49.1169,0.9239,2426.6233,96.44,-151.0,12
MGC,MGC_SLIPPAGE_ONLY,MGC slippage-only,year,2025,2266,18313.9925,0.0,11330.0,6983.9925,3.0821,8.0,55.6487,1.1919,1285.4483,285.0,-287.2792,7
MGC,MGC_SLIPPAGE_ONLY,MGC slippage-only,year,2026,604,11157.1808,0.0,3020.0,8137.1808,13.4722,25.0,57.6159,1.3307,2019.665,602.0,-584.7333,9
MGC,MGC_SLIPPAGE_ONLY,MGC slippage-only,direction,LONG,4965,38382.315,0.0,24825.0,13557.315,2.7306,4.0,53.1319,1.1662,2493.9758,602.0,-584.7333,12
MGC,MGC_SLIPPAGE_ONLY,MGC slippage-only,exit_reason,stop,704,-42249.375,0.0,3520.0,-45769.375,-65.0133,-44.3354,0.0,0.0,45769.375,-10.55,-584.7333,704
MGC,MGC_SLIPPAGE_ONLY,MGC slippage-only,exit_reason,stop_first_conflict,4,-85.95,0.0,20.0,-105.95,-26.4875,-25.0312,0.0,0.0,105.95,-19.3667,-36.5208,4
MGC,MGC_SLIPPAGE_ONLY,MGC slippage-only,exit_reason,target,1855,86486.64,0.0,9275.0,77211.64,41.6235,27.76,100.0,77211.64,0.0,430.0933,1.5,0
MGC,MGC_SLIPPAGE_ONLY,MGC slippage-only,exit_reason,time_stop,2402,-5769.0,0.0,12010.0,-17779.0,-7.4017,-6.0,32.5978,0.5019,17979.0,602.0,-411.0,18
MGC,MGC_HALF_SLIPPAGE,MGC half slippage,session,ASIA,1947,16334.8325,2920.5,4867.5,8546.8325,4.3897,4.0,54.3914,1.2873,1000.3717,603.0,-546.2417,11
MGC,MGC_HALF_SLIPPAGE,MGC half slippage,session,US,3018,22047.4825,4527.0,7545.0,9975.4825,3.3053,5.0,55.3015,1.2014,1667.3975,431.0933,-583.7333,10
MGC,MGC_HALF_SLIPPAGE,MGC half slippage,year,2024,2095,8911.1417,3142.5,5237.5,531.1417,0.2535,1.0,51.599,1.0272,1496.8292,97.44,-150.0,12
MGC,MGC_HALF_SLIPPAGE,MGC half slippage,year,2025,2266,18313.9925,3399.0,5665.0,9249.9925,4.0821,9.0,57.1492,1.2612,1060.0217,286.0,-286.2792,7
MGC,MGC_HALF_SLIPPAGE,MGC half slippage,year,2026,604,11157.1808,906.0,1510.0,8741.1808,14.4722,26.0,58.2781,1.3589,1952.665,603.0,-583.7333,9
MGC,MGC_HALF_SLIPPAGE,MGC half slippage,direction,LONG,4965,38382.315,7447.5,12412.5,18522.315,3.7306,5.0,54.9446,1.2336,1952.665,603.0,-583.7333,12
MGC,MGC_HALF_SLIPPAGE,MGC half slippage,exit_reason,stop,704,-42249.375,1056.0,1760.0,-45065.375,-64.0133,-43.3354,0.0,0.0,45065.375,-9.55,-583.7333,704
MGC,MGC_HALF_SLIPPAGE,MGC half slippage,exit_reason,stop_first_conflict,4,-85.95,6.0,10.0,-101.95,-25.4875,-24.0312,0.0,0.0,101.95,-18.3667,-35.5208,4
MGC,MGC_HALF_SLIPPAGE,MGC half slippage,exit_reason,target,1855,86486.64,2782.5,4637.5,79066.64,42.6235,28.76,100.0,79066.64,0.0,431.0933,2.5,0
MGC,MGC_HALF_SLIPPAGE,MGC half slippage,exit_reason,time_stop,2402,-5769.0,3603.0,6005.0,-15377.0,-6.4017,-5.0,36.3447,0.5493,15585.0,603.0,-410.0,18
MGC,MGC_DOUBLE_SLIPPAGE,MGC double slippage,session,ASIA,1947,16334.8325,2920.5,19470.0,-6055.6675,-3.1103,-3.5,45.5059,0.8364,10134.7792,595.5,-553.7417,14
MGC,MGC_DOUBLE_SLIPPAGE,MGC double slippage,session,US,3018,22047.4825,4527.0,30180.0,-12659.5175,-4.1947,-2.5,47.548,0.7909,14065.9875,423.5933,-591.2333,13
MGC,MGC_DOUBLE_SLIPPAGE,MGC double slippage,year,2024,2095,8911.1417,3142.5,20950.0,-15181.3583,-7.2465,-6.5,39.3317,0.4584,15188.065,89.94,-157.5,16
MGC,MGC_DOUBLE_SLIPPAGE,MGC double slippage,year,2025,2266,18313.9925,3399.0,22660.0,-7745.0075,-3.4179,1.5,51.1474,0.8209,8453.4433,278.5,-293.7792,8
MGC,MGC_DOUBLE_SLIPPAGE,MGC double slippage,year,2026,604,11157.1808,906.0,6040.0,4211.1808,6.9722,18.5,55.9603,1.1601,2458.2383,595.5,-591.2333,9
