candidate_id,session_date,calendar_dte,target_credit,modeled_entry,minute_touches,minute_touches_any_fresh_events,missed_minute_mid_crossings,missed_minute_ask_crossings,p2_rejected_supported,p3_rejected_supported,p2_approved_not_strong,p3_approved_not_strong,fast_6_5_4_3_rebound_sequences,conditional_fast_6_5_4_3_rebound_sequences,conditional_missed_minute_mid_crossings,conditional_missed_raw_minute_mid_crossings,conditional_missed_raw_minute_ask_crossings,conditional_p2_rejected_supported,conditional_p3_rejected_supported,conditional_p2_approved_not_strong,conditional_p3_approved_not_strong
1079,2023-05-31,2,7.0,False,311,299,0,0,0,0,304,300,0,53,533,482,0,6,9,89,85
1080,2023-06-02,3,5.0,False,205,0,0,0,0,0,197,191,0,0,0,0,0,0,0,197,191
1081,2023-06-02,3,6.0,False,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1082,2023-06-02,3,7.0,False,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1107,2023-06-13,2,5.0,False,376,307,0,0,0,0,368,364,0,27,477,363,0,4,5,76,73
1108,2023-06-13,2,6.0,False,327,292,0,0,0,0,316,306,0,33,886,482,0,8,15,61,52
1109,2023-06-13,2,7.0,False,167,0,0,0,0,0,157,153,0,0,0,0,0,0,0,157,153
1137,2023-06-30,3,5.0,False,559,1,0,0,0,0,546,536,0,0,0,0,1,0,0,545,535
1138,2023-06-30,3,6.0,False,220,173,0,0,0,0,207,200,0,0,71,48,0,7,13,83,77
1139,2023-06-30,3,7.0,False,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1140,2023-07-03,2,5.0,False,116,116,0,0,0,0,105,98,0,48,681,578,0,11,18,70,64
1141,2023-07-03,2,6.0,False,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1142,2023-07-03,2,7.0,False,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1143,2023-07-03,3,5.0,False,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1144,2023-07-03,3,6.0,False,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1145,2023-07-03,3,7.0,False,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1170,2023-07-17,2,5.0,False,602,1,0,0,0,0,595,589,0,0,0,0,14,0,0,594,588
1171,2023-07-17,2,6.0,False,510,1,0,0,0,0,501,493,0,0,0,0,26,0,0,500,492
1172,2023-07-17,2,7.0,False,568,1,0,0,0,0,557,550,0,0,0,0,22,0,0,556,549
1173,2023-07-17,3,5.0,False,664,33,0,0,0,0,659,655,0,29,192,192,24,1,2,635,631
1174,2023-07-17,3,6.0,False,550,5,0,0,0,0,534,524,0,57,412,412,2,3,4,533,523
1175,2023-07-17,3,7.0,False,84,0,0,0,0,0,74,69,0,0,34,34,0,0,0,74,69
1200,2023-07-31,2,5.0,False,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1201,2023-07-31,2,6.0,False,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1202,2023-07-31,2,7.0,False,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1203,2023-07-31,3,5.0,False,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1204,2023-07-31,3,6.0,False,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1205,2023-07-31,3,7.0,False,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1206,2023-08-01,2,5.0,False,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1207,2023-08-01,2,6.0,False,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1208,2023-08-01,2,7.0,False,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1209,2023-08-01,3,5.0,False,1,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0
1210,2023-08-01,3,6.0,False,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1211,2023-08-01,3,7.0,False,0,0,0,0,0,0,0,0,0,0,2,2,0,0,0,0,0
1242,2023-08-15,2,5.0,False,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1243,2023-08-15,2,6.0,False,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1244,2023-08-15,2,7.0,False,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1278,2023-08-30,2,5.0,False,743,1,0,0,0,0,723,711,0,0,9,9,1,0,0,722,710
1279,2023-08-30,2,6.0,False,45,1,0,0,0,0,30,25,0,2,6,6,9,0,0,29,24
1280,2023-08-30,2,7.0,False,0,0,0,0,0,0,0,0,0,2,3,3,0,0,0,0,0
1281,2023-09-05,2,5.0,False,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1282,2023-09-05,2,6.0,False,0,0,0,0,0,0,0,0,0,3,5,5,0,0,0,0,0
1283,2023-09-05,2,7.0,False,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1284,2023-09-05,3,5.0,False,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0
1285,2023-09-05,3,6.0,False,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1286,2023-09-05,3,7.0,False,1,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0
1305,2023-09-18,2,5.0,False,1,0,0,0,0,0,0,0,0,191,475,475,0,0,0,0,0
1306,2023-09-18,2,6.0,False,0,0,0,0,0,0,0,0,0,34,50,50,0,0,0,0,0
1307,2023-09-18,2,7.0,False,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1308,2023-09-18,3,5.0,False,1,0,0,0,0,0,0,0,0,1,2,2,0,0,0,0,0
1309,2023-09-18,3,6.0,False,0,0,0,0,0,0,0,0,0,2,2,2,0,0,0,0,0
1310,2023-09-18,3,7.0,False,4,0,0,0,0,0,3,2,0,0,0,0,0,0,0,3,2
1338,2023-09-29,3,5.0,False,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1339,2023-09-29,3,6.0,False,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1340,2023-09-29,3,7.0,False,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1341,2023-10-02,2,5.0,False,100,0,0,0,0,0,87,80,0,5,9,9,0,0,0,87,80
1342,2023-10-02,2,6.0,False,75,0,0,0,0,0,67,63,0,3,11,11,0,0,0,67,63
1343,2023-10-02,2,7.0,False,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1344,2023-10-02,3,5.0,False,0,0,0,0,0,0,0,0,0,65,94,94,0,0,0,0,0
1345,2023-10-02,3,6.0,False,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1346,2023-10-02,3,7.0,False,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1377,2023-10-16,2,5.0,False,286,0,0,0,0,0,256,235,0,1,2,2,0,0,0,256,235
1378,2023-10-16,2,6.0,False,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1379,2023-10-16,2,7.0,False,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1380,2023-10-16,3,5.0,False,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1381,2023-10-16,3,6.0,False,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1382,2023-10-16,3,7.0,False,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1413,2023-10-31,2,5.0,False,754,0,0,0,0,0,740,728,0,4,24,24,0,0,0,740,728
1414,2023-10-31,2,6.0,False,464,1,0,0,0,0,457,451,0,0,0,0,0,0,0,456,450
1415,2023-10-31,2,7.0,False,464,1,0,0,0,0,459,455,0,0,0,0,0,0,0,458,454
1416,2023-10-31,3,5.0,False,983,2,0,0,0,0,947,931,0,1,6,6,2,0,0,945,929
1417,2023-10-31,3,6.0,False,843,2,0,0,0,0,828,819,0,3,8,8,3,0,0,826,817
1418,2023-10-31,3,7.0,False,700,2,0,0,0,0,679,665,0,0,4,4,51,0,0,677,663
1419,2023-11-01,2,5.0,False,849,2,0,0,0,0,837,827,0,0,0,0,3,0,0,835,825
1420,2023-11-01,2,6.0,False,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1421,2023-11-01,2,7.0,False,783,2,0,0,0,0,773,765,0,0,0,0,0,0,0,772,764
1449,2023-11-14,2,5.0,False,239,1,0,0,0,0,215,202,0,2,9,9,0,0,0,215,202
1450,2023-11-14,2,6.0,False,2,0,0,0,0,0,0,0,0,4,17,17,0,0,0,0,0
1451,2023-11-14,2,7.0,False,1,0,0,0,0,0,0,0,0,5,8,8,0,0,0,0,0
1479,2023-11-29,2,5.0,False,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1480,2023-11-29,2,6.0,False,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1481,2023-11-29,2,7.0,False,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1482,2023-12-01,3,5.0,False,211,0,0,0,0,0,199,191,0,0,0,0,0,0,0,199,191
1483,2023-12-01,3,6.0,False,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1484,2023-12-01,3,7.0,False,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1509,2023-12-12,2,5.0,False,831,1,0,0,0,0,814,807,0,0,0,0,0,0,0,814,807
1510,2023-12-12,2,6.0,False,792,2,0,0,0,0,776,762,0,0,5,5,0,0,0,775,761
1511,2023-12-12,2,7.0,False,515,1,0,0,0,0,508,502,0,2,6,6,0,0,0,507,501
1536,2023-12-27,2,5.0,False,1,0,0,0,0,0,0,0,0,6,12,12,0,0,0,0,0
1537,2023-12-27,2,6.0,False,0,0,0,0,0,0,0,0,0,5,8,8,0,0,0,0,0
1538,2023-12-27,2,7.0,False,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1539,2024-01-02,2,5.0,False,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1540,2024-01-02,2,6.0,False,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0
1541,2024-01-02,2,7.0,False,0,0,0,0,0,0,0,0,0,0,2,2,0,0,0,0,0
1542,2024-01-02,3,5.0,False,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1543,2024-01-02,3,6.0,False,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1544,2024-01-02,3,7.0,False,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1569,2024-01-19,3,5.0,False,623,17,0,0,0,0,620,618,0,0,0,0,0,0,0,603,601
1570,2024-01-19,3,6.0,False,572,17,0,0,0,0,562,555,0,0,0,0,0,0,0,545,538
1571,2024-01-19,3,7.0,False,528,17,0,0,0,0,521,516,0,0,0,0,0,0,0,504,499
1602,2024-01-31,2,5.0,False,312,14,0,0,0,0,297,286,0,1,4,4,2,1,1,284,273
1603,2024-01-31,2,6.0,False,379,14,0,0,0,0,375,371,0,1,55,55,0,0,0,364,360
1604,2024-01-31,2,7.0,False,158,0,0,0,0,0,150,143,0,0,0,0,0,0,0,150,143
1605,2024-02-02,3,5.0,False,686,8,0,0,0,0,674,663,0,0,0,0,2,1,1,669,658
1606,2024-02-02,3,6.0,False,615,6,0,0,0,0,602,593,0,1,6,6,29,1,1,599,590
1607,2024-02-02,3,7.0,False,372,1,0,0,0,0,355,343,0,2,46,46,0,0,0,355,343
1632,2024-02-13,2,5.0,False,847,14,0,0,0,0,828,815,0,0,4,4,0,0,0,815,802
1633,2024-02-13,2,6.0,False,553,13,0,0,0,0,538,529,0,0,56,56,3,0,0,527,518
1634,2024-02-13,2,7.0,False,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1659,2024-02-28,2,5.0,False,461,18,0,0,0,0,424,404,0,4,94,94,10,1,1,407,387
1660,2024-02-28,2,6.0,False,331,309,0,0,0,0,316,305,0,90,937,937,1,12,21,22,19
1661,2024-02-28,2,7.0,False,293,280,0,0,0,0,275,263,0,141,1986,1713,3,14,25,15,12
1662,2024-03-01,3,5.0,False,673,13,0,0,0,0,666,659,0,0,0,0,0,0,0,653,646
1663,2024-03-01,3,6.0,False,612,13,0,0,0,0,598,590,0,0,0,0,0,0,0,585,577
1664,2024-03-01,3,7.0,False,561,13,0,0,0,0,553,545,0,0,3,3,0,0,0,541,533
1689,2024-03-12,2,5.0,False,0,0,0,0,0,0,0,0,0,67,91,91,0,0,0,0,0
1690,2024-03-12,2,6.0,False,0,0,0,0,0,0,0,0,0,2,4,4,0,0,0,0,0
1691,2024-03-12,2,7.0,False,0,0,0,0,0,0,0,0,0,2,2,2,0,0,0,0,0
1719,2024-03-26,2,5.0,False,1,0,0,0,0,0,0,0,0,0,2,2,0,0,0,0,0
1720,2024-03-26,2,6.0,False,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1721,2024-03-26,2,7.0,False,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1722,2024-04-01,2,5.0,False,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1723,2024-04-01,2,6.0,False,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1724,2024-04-01,2,7.0,False,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1725,2024-04-01,3,5.0,False,9,9,0,0,0,0,6,4,0,185,570,565,0,3,5,6,4
1726,2024-04-01,3,6.0,False,1,0,0,0,0,0,0,0,0,3,4,4,0,0,0,0,0
