candidate_id,session_date,calendar_dte,target_credit,modeled_fill_ns,entry_model,frozen_baseline_fill_ns,frozen_baseline_credit,baseline_entry_verified,events,valid_events,fresh_seconds,stale_events,unmatched_events,invalid_events,locked_events,trade_events,first_mid,last_mid,median_mid,median_width,updates_per_second,bid_min,bid_max,ask_min,ask_max,bid_target_seconds,bid_target_crossings,mid_target_seconds,mid_target_crossings,ask_target_seconds,ask_target_crossings,marketable_seconds,plausible_seconds,marketable_fraction,plausible_fraction,entry_credit_crossings,around_entry_first_mid,around_entry_last_mid,around_entry_median_mid,plus_5s_mid,plus_15s_mid,plus_30s_mid,plus_60s_mid,plus_120s_mid,plus_300s_mid
1009,2023-05-01,2,6.0,,hypothetical_midpoint,1682947860000000000,5.95,False,0,0,0,0,0,0,0,0,,,,,0.0,,,,,0,0,0,0,0,0,0,0,0.0,0.0,0,7.150000000000006,6.0,5.900000000000006,,,,,,
1010,2023-05-01,2,7.0,,hypothetical_midpoint,1682947860000000000,6.95,False,0,0,0,0,0,0,0,0,,,,,0.0,,,,,0,0,0,0,0,0,0,0,0.0,0.0,0,6.300000000000011,7.75,6.800000000000011,,,,,,
1011,2023-05-01,3,5.0,,hypothetical_midpoint,1682947860000000000,4.7999999999999945,False,0,0,0,0,0,0,0,0,,,,,0.0,,,,,0,0,0,0,0,0,0,0,0.0,0.0,0,4.949999999999996,4.849999999999994,4.849999999999994,,,,,,
1012,2023-05-01,3,6.0,,hypothetical_midpoint,1682947860000000000,5.95,False,0,0,0,0,0,0,0,0,,,,,0.0,,,,,0,0,0,0,0,0,0,0,0.0,0.0,0,6.3500000000000085,6.000000000000014,6.0,,,,,,
1013,2023-05-01,3,7.0,,hypothetical_midpoint,1682947860000000000,6.999999999999983,False,0,0,0,0,0,0,0,0,,,,,0.0,,,,,0,0,0,0,0,0,0,0,0.0,0.0,0,7.1499999999999915,7.049999999999997,7.150000000000006,,,,,,
1041,2023-05-12,3,5.0,,hypothetical_midpoint,1683898260000000000,4.849999999999999,False,0,0,0,0,0,0,0,0,,,,,0.0,,,,,0,0,0,0,0,0,0,0,0.0,0.0,0,4.949999999999999,4.900000000000002,4.800000000000001,,,,,,
1042,2023-05-12,3,6.0,,hypothetical_midpoint,1683898260000000000,6.149999999999989,False,0,0,0,0,0,0,0,0,,,,,0.0,,,,,0,0,0,0,0,0,0,0,0.0,0.0,0,6.700000000000003,6.199999999999996,6.0,,,,,,
1043,2023-05-12,3,7.0,,hypothetical_midpoint,1683898260000000000,6.900000000000003,False,0,0,0,0,0,0,0,0,,,,,0.0,,,,,0,0,0,0,0,0,0,0,0.0,0.0,0,8.799999999999997,6.949999999999996,6.950000000000003,,,,,,
1077,2023-05-31,2,5.0,,hypothetical_midpoint,1685539860000000000,4.900000000000003,False,0,0,0,0,0,0,0,0,,,,,0.0,,,,,0,0,0,0,0,0,0,0,0.0,0.0,0,4.950000000000003,4.949999999999996,4.949999999999996,,,,,,
1078,2023-05-31,2,6.0,,hypothetical_midpoint,1685539860000000000,5.95,False,0,0,0,0,0,0,0,0,,,,,0.0,,,,,0,0,0,0,0,0,0,0,0.0,0.0,0,6.200000000000017,6.0,5.25,,,,,,
1079,2023-05-31,2,7.0,,hypothetical_midpoint,1685539860000000000,6.95,False,0,0,0,0,0,0,0,0,,,,,0.0,,,,,0,0,0,0,0,0,0,0,0.0,0.0,0,6.900000000000006,7.0,6.700000000000003,,,,,,
1080,2023-06-02,3,5.0,,hypothetical_midpoint,1685712660000000000,4.850000000000006,False,0,0,0,0,0,0,0,0,,,,,0.0,,,,,0,0,0,0,0,0,0,0,0.0,0.0,0,5.700000000000003,4.899999999999999,5.550000000000004,,,,,,
1081,2023-06-02,3,6.0,,hypothetical_midpoint,1685712660000000000,5.95,False,0,0,0,0,0,0,0,0,,,,,0.0,,,,,0,0,0,0,0,0,0,0,0.0,0.0,0,9.5,6.0,7.799999999999997,,,,,,
1082,2023-06-02,3,7.0,,hypothetical_midpoint,1685712660000000000,7.049999999999966,False,0,0,0,0,0,0,0,0,,,,,0.0,,,,,0,0,0,0,0,0,0,0,0.0,0.0,0,8.949999999999989,7.099999999999994,9.049999999999983,,,,,,
1107,2023-06-13,2,5.0,,hypothetical_midpoint,1686663060000000000,4.95,False,0,0,0,0,0,0,0,0,,,,,0.0,,,,,0,0,0,0,0,0,0,0,0.0,0.0,0,5.04999999999999,5.0,5.0,,,,,,
1108,2023-06-13,2,6.0,,hypothetical_midpoint,1686663060000000000,5.95,False,0,0,0,0,0,0,0,0,,,,,0.0,,,,,0,0,0,0,0,0,0,0,0.0,0.0,0,5.799999999999997,6.0,5.949999999999989,,,,,,
1109,2023-06-13,2,7.0,,hypothetical_midpoint,1686663060000000000,6.999999999999983,False,0,0,0,0,0,0,0,0,,,,,0.0,,,,,0,0,0,0,0,0,0,0,0.0,0.0,0,6.450000000000003,7.049999999999997,6.924999999999997,,,,,,
1137,2023-06-30,3,5.0,,hypothetical_midpoint,1688131860000000000,4.850000000000006,False,0,0,0,0,0,0,0,0,,,,,0.0,,,,,0,0,0,0,0,0,0,0,0.0,0.0,0,4.450000000000003,4.900000000000002,4.549999999999997,,,,,,
1138,2023-06-30,3,6.0,,hypothetical_midpoint,1688131860000000000,5.949999999999986,False,0,0,0,0,0,0,0,0,,,,,0.0,,,,,0,0,0,0,0,0,0,0,0.0,0.0,0,5.549999999999997,5.999999999999993,5.900000000000006,,,,,,
1139,2023-06-30,3,7.0,,hypothetical_midpoint,1688131860000000000,6.800000000000023,False,0,0,0,0,0,0,0,0,,,,,0.0,,,,,0,0,0,0,0,0,0,0,0.0,0.0,0,9.400000000000006,6.849999999999994,9.050000000000011,,,,,,
1140,2023-07-03,2,5.0,,hypothetical_midpoint,1688391060000000000,4.95,False,0,0,0,0,0,0,0,0,,,,,0.0,,,,,0,0,0,0,0,0,0,0,0.0,0.0,0,5.0,5.000000000000007,5.349999999999994,,,,,,
1141,2023-07-03,2,6.0,,hypothetical_midpoint,1688391060000000000,5.95,False,0,0,0,0,0,0,0,0,,,,,0.0,,,,,0,0,0,0,0,0,0,0,0.0,0.0,0,5.199999999999996,6.000000000000007,6.199999999999996,,,,,,
1142,2023-07-03,2,7.0,,hypothetical_midpoint,1688391060000000000,6.850000000000006,False,0,0,0,0,0,0,0,0,,,,,0.0,,,,,0,0,0,0,0,0,0,0,0.0,0.0,0,6.499999999999993,6.899999999999999,6.899999999999999,,,,,,
1143,2023-07-03,3,5.0,,hypothetical_midpoint,1688391060000000000,6.5000000000000115,False,0,0,0,0,0,0,0,0,,,,,0.0,,,,,0,0,0,0,0,0,0,0,0.0,0.0,0,6.549999999999997,6.550000000000011,7.299999999999997,,,,,,
1144,2023-07-03,3,6.0,,hypothetical_midpoint,1688391060000000000,6.5000000000000115,False,0,0,0,0,0,0,0,0,,,,,0.0,,,,,0,0,0,0,0,0,0,0,0.0,0.0,0,6.549999999999997,6.550000000000011,7.299999999999997,,,,,,
1145,2023-07-03,3,7.0,,hypothetical_midpoint,1688391060000000000,6.95,False,0,0,0,0,0,0,0,0,,,,,0.0,,,,,0,0,0,0,0,0,0,0,0.0,0.0,0,8.450000000000003,7.000000000000014,7.550000000000011,,,,,,
1170,2023-07-17,2,5.0,,hypothetical_midpoint,1689600660000000000,4.850000000000006,False,0,0,0,0,0,0,0,0,,,,,0.0,,,,,0,0,0,0,0,0,0,0,0.0,0.0,0,6.800000000000011,5.79999999999999,5.75,,,,,,
1171,2023-07-17,2,6.0,,hypothetical_midpoint,1689600660000000000,5.899999999999989,False,0,0,0,0,0,0,0,0,,,,,0.0,,,,,0,0,0,0,0,0,0,0,0.0,0.0,0,7.049999999999997,5.950000000000003,6.8999999999999915,,,,,,
1172,2023-07-17,2,7.0,,hypothetical_midpoint,1689600660000000000,6.95,False,0,0,0,0,0,0,0,0,,,,,0.0,,,,,0,0,0,0,0,0,0,0,0.0,0.0,0,6.0,6.900000000000006,6.650000000000006,,,,,,
1173,2023-07-17,3,5.0,,hypothetical_midpoint,1689600660000000000,5.0499999999999945,False,0,0,0,0,0,0,0,0,,,,,0.0,,,,,0,0,0,0,0,0,0,0,0.0,0.0,0,5.599999999999994,5.100000000000001,5.350000000000001,,,,,,
1174,2023-07-17,3,6.0,,hypothetical_midpoint,1689600660000000000,5.95,False,0,0,0,0,0,0,0,0,,,,,0.0,,,,,0,0,0,0,0,0,0,0,0.0,0.0,0,5.549999999999997,6.0,6.149999999999999,,,,,,
1175,2023-07-17,3,7.0,,hypothetical_midpoint,1689600660000000000,6.95,False,0,0,0,0,0,0,0,0,,,,,0.0,,,,,0,0,0,0,0,0,0,0,0.0,0.0,0,7.299999999999997,7.0,7.050000000000011,,,,,,
1200,2023-07-31,2,5.0,,hypothetical_midpoint,1690810260000000000,4.999999999999997,False,0,0,0,0,0,0,0,0,,,,,0.0,,,,,0,0,0,0,0,0,0,0,0.0,0.0,0,5.200000000000003,5.050000000000004,4.550000000000004,,,,,,
1201,2023-07-31,2,6.0,,hypothetical_midpoint,1690810260000000000,5.849999999999977,False,0,0,0,0,0,0,0,0,,,,,0.0,,,,,0,0,0,0,0,0,0,0,0.0,0.0,0,4.8500000000000085,5.900000000000006,5.825000000000003,,,,,,
1202,2023-07-31,2,7.0,,hypothetical_midpoint,1690810260000000000,6.900000000000017,False,0,0,0,0,0,0,0,0,,,,,0.0,,,,,0,0,0,0,0,0,0,0,0.0,0.0,0,7.550000000000011,6.950000000000003,7.300000000000011,,,,,,
1203,2023-07-31,3,5.0,,hypothetical_midpoint,1690810260000000000,5.0000000000000115,False,0,0,0,0,0,0,0,0,,,,,0.0,,,,,0,0,0,0,0,0,0,0,0.0,0.0,0,4.249999999999993,5.049999999999997,4.499999999999993,,,,,,
1204,2023-07-31,3,6.0,,hypothetical_midpoint,1690810260000000000,5.900000000000017,False,0,0,0,0,0,0,0,0,,,,,0.0,,,,,0,0,0,0,0,0,0,0,0.0,0.0,0,6.449999999999989,5.950000000000003,7.1000000000000085,,,,,,
1205,2023-07-31,3,7.0,,hypothetical_midpoint,1690810260000000000,6.999999999999983,False,0,0,0,0,0,0,0,0,,,,,0.0,,,,,0,0,0,0,0,0,0,0,0.0,0.0,0,7.25,7.049999999999997,6.774999999999999,,,,,,
1206,2023-08-01,2,5.0,,hypothetical_midpoint,1690896660000000000,4.900000000000003,False,0,0,0,0,0,0,0,0,,,,,0.0,,,,,0,0,0,0,0,0,0,0,0.0,0.0,0,5.149999999999999,4.950000000000003,5.050000000000004,,,,,,
1207,2023-08-01,2,6.0,,hypothetical_midpoint,1690896660000000000,5.749999999999997,False,0,0,0,0,0,0,0,0,,,,,0.0,,,,,0,0,0,0,0,0,0,0,0.0,0.0,0,5.799999999999997,5.799999999999997,5.800000000000004,,,,,,
1208,2023-08-01,2,7.0,,hypothetical_midpoint,1690896660000000000,6.999999999999983,False,0,0,0,0,0,0,0,0,,,,,0.0,,,,,0,0,0,0,0,0,0,0,0.0,0.0,0,6.999999999999986,7.049999999999997,6.450000000000003,,,,,,
1209,2023-08-01,3,5.0,,hypothetical_midpoint,1690896660000000000,4.949999999999986,False,0,0,0,0,0,0,0,0,,,,,0.0,,,,,0,0,0,0,0,0,0,0,0.0,0.0,0,5.550000000000004,4.999999999999993,4.950000000000003,,,,,,
1210,2023-08-01,3,6.0,,hypothetical_midpoint,1690896660000000000,6.0499999999999945,False,0,0,0,0,0,0,0,0,,,,,0.0,,,,,0,0,0,0,0,0,0,0,0.0,0.0,0,7.450000000000003,6.099999999999994,6.8999999999999915,,,,,,
1211,2023-08-01,3,7.0,,hypothetical_midpoint,1690896660000000000,7.049999999999966,False,0,0,0,0,0,0,0,0,,,,,0.0,,,,,0,0,0,0,0,0,0,0,0.0,0.0,0,9.250000000000028,7.099999999999994,7.099999999999994,,,,,,
1242,2023-08-15,2,5.0,,hypothetical_midpoint,1692106260000000000,4.95,False,0,0,0,0,0,0,0,0,,,,,0.0,,,,,0,0,0,0,0,0,0,0,0.0,0.0,0,4.0,5.0,4.5,,,,,,
1243,2023-08-15,2,6.0,,hypothetical_midpoint,1692106260000000000,5.95,False,0,0,0,0,0,0,0,0,,,,,0.0,,,,,0,0,0,0,0,0,0,0,0.0,0.0,0,7.699999999999932,9.699999999999989,8.899999999999977,,,,,,
1244,2023-08-15,2,7.0,,hypothetical_midpoint,1692106260000000000,6.999999999999983,False,0,0,0,0,0,0,0,0,,,,,0.0,,,,,0,0,0,0,0,0,0,0,0.0,0.0,0,7.400000000000006,7.049999999999997,6.650000000000006,,,,,,
1278,2023-08-30,2,5.0,,hypothetical_midpoint,1693402260000000000,4.849999999999992,False,0,0,0,0,0,0,0,0,,,,,0.0,,,,,0,0,0,0,0,0,0,0,0.0,0.0,0,4.900000000000006,4.899999999999999,4.949999999999996,,,,,,
1279,2023-08-30,2,6.0,,hypothetical_midpoint,1693402260000000000,6.2500000000000115,False,0,0,0,0,0,0,0,0,,,,,0.0,,,,,0,0,0,0,0,0,0,0,0.0,0.0,0,6.299999999999997,6.299999999999997,6.25,,,,,,
1280,2023-08-30,2,7.0,,hypothetical_midpoint,1693402260000000000,7.050000000000023,False,0,0,0,0,0,0,0,0,,,,,0.0,,,,,0,0,0,0,0,0,0,0,0.0,0.0,0,8.249999999999986,7.1000000000000085,8.350000000000009,,,,,,
1281,2023-09-05,2,5.0,,hypothetical_midpoint,1693920660000000000,4.95,False,0,0,0,0,0,0,0,0,,,,,0.0,,,,,0,0,0,0,0,0,0,0,0.0,0.0,0,5.950000000000003,4.999999999999986,5.625,,,,,,
1282,2023-09-05,2,6.0,,hypothetical_midpoint,1693920660000000000,5.749999999999983,False,0,0,0,0,0,0,0,0,,,,,0.0,,,,,0,0,0,0,0,0,0,0,0.0,0.0,0,6.8999999999999915,5.799999999999997,7.175000000000004,,,,,,
1283,2023-09-05,2,7.0,,hypothetical_midpoint,1693920660000000000,6.899999999999989,False,0,0,0,0,0,0,0,0,,,,,0.0,,,,,0,0,0,0,0,0,0,0,0.0,0.0,0,5.900000000000006,6.949999999999989,6.20000000000001,,,,,,
1284,2023-09-05,3,5.0,,hypothetical_midpoint,1693920660000000000,4.999999999999997,False,0,0,0,0,0,0,0,0,,,,,0.0,,,,,0,0,0,0,0,0,0,0,0.0,0.0,0,4.899999999999999,5.049999999999997,5.050000000000004,,,,,,
1285,2023-09-05,3,6.0,,hypothetical_midpoint,1693920660000000000,5.95,False,0,0,0,0,0,0,0,0,,,,,0.0,,,,,0,0,0,0,0,0,0,0,0.0,0.0,0,5.5,6.0,6.0,,,,,,
1286,2023-09-05,3,7.0,,hypothetical_midpoint,1693920660000000000,6.900000000000046,False,0,0,0,0,0,0,0,0,,,,,0.0,,,,,0,0,0,0,0,0,0,0,0.0,0.0,0,8.75,6.949999999999989,8.850000000000023,,,,,,
1305,2023-09-18,2,5.0,,hypothetical_midpoint,1695043860000000000,5.0499999999999945,False,0,0,0,0,0,0,0,0,,,,,0.0,,,,,0,0,0,0,0,0,0,0,0.0,0.0,0,5.0,5.099999999999994,5.099999999999987,,,,,,
1306,2023-09-18,2,6.0,,hypothetical_midpoint,1695043860000000000,5.95,False,0,0,0,0,0,0,0,0,,,,,0.0,,,,,0,0,0,0,0,0,0,0,0.0,0.0,0,6.299999999999983,6.0,6.049999999999997,,,,,,
1307,2023-09-18,2,7.0,,hypothetical_midpoint,1695043860000000000,6.899999999999989,False,0,0,0,0,0,0,0,0,,,,,0.0,,,,,0,0,0,0,0,0,0,0,0.0,0.0,0,7.050000000000011,6.950000000000003,6.75,,,,,,
1308,2023-09-18,3,5.0,,hypothetical_midpoint,1695043860000000000,4.850000000000006,False,0,0,0,0,0,0,0,0,,,,,0.0,,,,,0,0,0,0,0,0,0,0,0.0,0.0,0,5.25,4.899999999999999,4.950000000000003,,,,,,
1309,2023-09-18,3,6.0,,hypothetical_midpoint,1695043860000000000,5.849999999999977,False,0,0,0,0,0,0,0,0,,,,,0.0,,,,,0,0,0,0,0,0,0,0,0.0,0.0,0,3.5500000000000114,5.900000000000006,6.050000000000011,,,,,,
1310,2023-09-18,3,7.0,,hypothetical_midpoint,1695043860000000000,7.0000000000000115,False,0,0,0,0,0,0,0,0,,,,,0.0,,,,,0,0,0,0,0,0,0,0,0.0,0.0,0,7.399999999999977,7.049999999999997,7.399999999999977,,,,,,
1338,2023-09-29,3,5.0,,hypothetical_midpoint,1695994260000000000,4.95,False,0,0,0,0,0,0,0,0,,,,,0.0,,,,,0,0,0,0,0,0,0,0,0.0,0.0,0,5.649999999999999,5.0,5.849999999999994,,,,,,
1339,2023-09-29,3,6.0,,hypothetical_midpoint,1695994260000000000,5.899999999999989,False,0,0,0,0,0,0,0,0,,,,,0.0,,,,,0,0,0,0,0,0,0,0,0.0,0.0,0,5.75,5.950000000000003,6.150000000000006,,,,,,
1340,2023-09-29,3,7.0,,hypothetical_midpoint,1695994260000000000,6.899999999999989,False,0,0,0,0,0,0,0,0,,,,,0.0,,,,,0,0,0,0,0,0,0,0,0.0,0.0,0,7.200000000000003,6.950000000000003,7.049999999999997,,,,,,
1341,2023-10-02,2,5.0,,hypothetical_midpoint,1696253460000000000,4.999999999999997,False,0,0,0,0,0,0,0,0,,,,,0.0,,,,,0,0,0,0,0,0,0,0,0.0,0.0,0,4.949999999999989,5.049999999999997,4.75,,,,,,
1342,2023-10-02,2,6.0,,hypothetical_midpoint,1696253460000000000,5.749999999999983,False,0,0,0,0,0,0,0,0,,,,,0.0,,,,,0,0,0,0,0,0,0,0,0.0,0.0,0,4.650000000000006,5.79999999999999,5.049999999999997,,,,,,
1343,2023-10-02,2,7.0,,hypothetical_midpoint,1696253460000000000,6.95,False,0,0,0,0,0,0,0,0,,,,,0.0,,,,,0,0,0,0,0,0,0,0,0.0,0.0,0,8.850000000000009,6.999999999999972,8.149999999999991,,,,,,
1344,2023-10-02,3,5.0,,hypothetical_midpoint,1696253460000000000,4.999999999999983,False,0,0,0,0,0,0,0,0,,,,,0.0,,,,,0,0,0,0,0,0,0,0,0.0,0.0,0,4.599999999999994,5.049999999999997,5.150000000000006,,,,,,
1345,2023-10-02,3,6.0,,hypothetical_midpoint,1696253460000000000,5.800000000000023,False,0,0,0,0,0,0,0,0,,,,,0.0,,,,,0,0,0,0,0,0,0,0,0.0,0.0,0,7.099999999999994,5.849999999999994,6.400000000000006,,,,,,
1346,2023-10-02,3,7.0,,hypothetical_midpoint,1696253460000000000,6.900000000000046,False,0,0,0,0,0,0,0,0,,,,,0.0,,,,,0,0,0,0,0,0,0,0,0.0,0.0,0,7.650000000000034,6.950000000000017,7.850000000000023,,,,,,
1377,2023-10-16,2,5.0,,hypothetical_midpoint,1697463060000000000,5.0000000000000115,False,0,0,0,0,0,0,0,0,,,,,0.0,,,,,0,0,0,0,0,0,0,0,0.0,0.0,0,4.399999999999999,5.050000000000004,4.550000000000004,,,,,,
1378,2023-10-16,2,6.0,,hypothetical_midpoint,1697463060000000000,6.2500000000000115,False,0,0,0,0,0,0,0,0,,,,,0.0,,,,,0,0,0,0,0,0,0,0,0.0,0.0,0,7.34999999999998,6.299999999999997,6.5,,,,,,
1379,2023-10-16,2,7.0,,hypothetical_midpoint,1697463060000000000,6.899999999999989,False,0,0,0,0,0,0,0,0,,,,,0.0,,,,,0,0,0,0,0,0,0,0,0.0,0.0,0,6.8999999999999915,6.950000000000003,7.200000000000003,,,,,,
1380,2023-10-16,3,5.0,,hypothetical_midpoint,1697463060000000000,4.95,False,0,0,0,0,0,0,0,0,,,,,0.0,,,,,0,0,0,0,0,0,0,0,0.0,0.0,0,4.75,5.0,5.049999999999997,,,,,,
