candidate_id,session_date,calendar_dte,target_credit,category,observed_fresh_seconds,expected_regular_seconds,coverage_fraction,first_target_ns,max_before_observed_target,reason
1011,2023-05-01,3,5.0,censored/insufficient coverage,98.82798187300004,93600,0.0010558545071901713,,10.0,missing entry or incomplete path
1012,2023-05-01,3,6.0,censored/insufficient coverage,81.44546125599999,93600,0.0008701438168376066,,10.0,missing entry or incomplete path
1013,2023-05-01,3,7.0,censored/insufficient coverage,65.23973338500004,93600,0.0006970056985576927,,10.0,missing entry or incomplete path
1041,2023-05-12,3,5.0,censored/insufficient coverage,37.593136918000006,46800,0.0008032721563675215,,9.450000000000003,missing entry or incomplete path
1042,2023-05-12,3,6.0,censored/insufficient coverage,29.784592005,46800,0.0006364229060897436,,9.95000000000001,missing entry or incomplete path
1043,2023-05-12,3,7.0,censored/insufficient coverage,27.080562512000004,46800,0.0005786444981196582,,10.0,missing entry or incomplete path
1077,2023-05-31,2,5.0,censored/insufficient coverage,78.00832925900006,70200,0.0011112297615242174,1685712616840597428,7.849999999999994,missing entry or incomplete path
1078,2023-05-31,2,6.0,censored/insufficient coverage,84.13134381699989,70200,0.0011984521911253545,1685712616870589090,9.5,missing entry or incomplete path
1079,2023-05-31,2,7.0,censored/insufficient coverage,17866.003835427753,70200,0.2545014791371475,1685712619441933625,9.999999999999986,missing entry or incomplete path
1080,2023-06-02,3,5.0,censored/insufficient coverage,38.06029435399998,46800,0.0008132541528632474,,7.100000000000001,missing entry or incomplete path
1081,2023-06-02,3,6.0,censored/insufficient coverage,34.45519482400001,46800,0.0007362221116239318,,9.999999999999986,missing entry or incomplete path
1082,2023-06-02,3,7.0,censored/insufficient coverage,19.074963909999994,46800,0.0004075846989316238,,10.0,missing entry or incomplete path
1107,2023-06-13,2,5.0,censored/insufficient coverage,10777.709500024146,70200,0.15352862535646933,1686835837294432037,7.1000000000000085,missing entry or incomplete path
1108,2023-06-13,2,6.0,censored/insufficient coverage,13992.80371294784,70200,0.1993276882186302,1686836467203980555,9.299999999999997,missing entry or incomplete path
1109,2023-06-13,2,7.0,censored/insufficient coverage,77.63187515400011,70200,0.001105867167435899,,9.700000000000003,missing entry or incomplete path
1137,2023-06-30,3,5.0,censored/insufficient coverage,40.83262324599998,46800,0.0008724919497008543,1688391017910023509,0.9999999999999996,missing entry or incomplete path
1138,2023-06-30,3,6.0,censored/insufficient coverage,7084.112826243047,46800,0.15136993218468048,1688391018525783410,4.95,missing entry or incomplete path
1139,2023-06-30,3,7.0,censored/insufficient coverage,25.10178169799997,46800,0.0005363628567948711,,10.0,missing entry or incomplete path
1140,2023-07-03,2,5.0,censored/insufficient coverage,16541.264952240086,46800,0.35344583231282234,1688563876948643359,8.25,missing entry or incomplete path
1141,2023-07-03,2,6.0,censored/insufficient coverage,27.134128969,46800,0.000579789080534188,,9.25,missing entry or incomplete path
1142,2023-07-03,2,7.0,censored/insufficient coverage,24.911215563000006,46800,0.0005322909308333334,,9.950000000000003,missing entry or incomplete path
1143,2023-07-03,3,5.0,censored/insufficient coverage,58.96343274800002,70200,0.0008399349394301996,,10.0,missing entry or incomplete path
1144,2023-07-03,3,6.0,censored/insufficient coverage,58.96343274800002,70200,0.0008399349394301996,,10.0,missing entry or incomplete path
1145,2023-07-03,3,7.0,censored/insufficient coverage,48.557777096999935,70200,0.0006917062264529905,,10.0,missing entry or incomplete path
1170,2023-07-17,2,5.0,censored/insufficient coverage,80.52334593799993,70200,0.001147056209943019,1689773418585227158,7.800000000000004,missing entry or incomplete path
1171,2023-07-17,2,6.0,censored/insufficient coverage,81.62904451900002,70200,0.0011628069019800572,1689773418558587400,8.100000000000009,missing entry or incomplete path
1172,2023-07-17,2,7.0,censored/insufficient coverage,81.62287283900002,70200,0.0011627189863105416,1689773418585215963,7.300000000000004,missing entry or incomplete path
1173,2023-07-17,3,5.0,censored/insufficient coverage,17972.701681874776,93600,0.19201604360977326,1689687058877846774,6.799999999999997,missing entry or incomplete path
1174,2023-07-17,3,6.0,censored/insufficient coverage,16619.741464387982,93600,0.17756134043149555,1689687015309080613,5.1499999999999915,missing entry or incomplete path
1175,2023-07-17,3,7.0,censored/insufficient coverage,114.96659428500014,93600,0.0012282755799679502,1689687015304224271,1.7000000000000028,missing entry or incomplete path
1200,2023-07-31,2,5.0,censored/insufficient coverage,74.84983132599997,70200,0.001066236913475783,,10.0,missing entry or incomplete path
1201,2023-07-31,2,6.0,censored/insufficient coverage,80.45347873299991,70200,0.0011460609506125344,,10.0,missing entry or incomplete path
1202,2023-07-31,2,7.0,censored/insufficient coverage,61.659988264999946,70200,0.0008783474111823354,,10.0,missing entry or incomplete path
1203,2023-07-31,3,5.0,censored/insufficient coverage,95.55601236400007,93600,0.0010208975679914538,,10.0,missing entry or incomplete path
1204,2023-07-31,3,6.0,censored/insufficient coverage,91.66524746200001,93600,0.0009793295669017095,,10.0,missing entry or incomplete path
1205,2023-07-31,3,7.0,censored/insufficient coverage,80.93025393899998,93600,0.0008646394651602562,,10.0,missing entry or incomplete path
1206,2023-08-01,2,5.0,censored/insufficient coverage,65.68996393799992,70200,0.0009357544720512809,,10.0,missing entry or incomplete path
1207,2023-08-01,2,6.0,censored/insufficient coverage,58.167853349999994,70200,0.0008286018995726495,,10.0,missing entry or incomplete path
1208,2023-08-01,2,7.0,censored/insufficient coverage,64.80722288500003,70200,0.0009231798131766386,,10.0,missing entry or incomplete path
1209,2023-08-01,3,5.0,censored/insufficient coverage,102.23936406199988,93600,0.0010923008980982894,1690983053840323238,7.800000000000011,missing entry or incomplete path
1210,2023-08-01,3,6.0,censored/insufficient coverage,62.39603728200001,93600,0.0006666243299358975,,10.0,missing entry or incomplete path
1211,2023-08-01,3,7.0,censored/insufficient coverage,64.49979954400006,93600,0.000689100422478633,1691069435992373163,10.0,missing entry or incomplete path
1242,2023-08-15,2,5.0,censored/insufficient coverage,70.75061321400004,70200,0.0010078434930769237,,10.0,missing entry or incomplete path
1243,2023-08-15,2,6.0,censored/insufficient coverage,39.04672312599999,70200,0.000556221127150997,,10.0,missing entry or incomplete path
1244,2023-08-15,2,7.0,censored/insufficient coverage,49.670125627,70200,0.0007075516471082621,,10.0,missing entry or incomplete path
1278,2023-08-30,2,5.0,censored/insufficient coverage,88.00024014000005,70200,0.0012535646743589751,1693488618016527691,4.25,missing entry or incomplete path
1279,2023-08-30,2,6.0,censored/insufficient coverage,88.88694530099995,70200,0.0012661958020085463,1693488625154225786,7.200000000000003,missing entry or incomplete path
1280,2023-08-30,2,7.0,censored/insufficient coverage,88.13253984299999,70200,0.0012554492855128203,1693575018252146935,9.400000000000006,missing entry or incomplete path
