calendar_dte,target_credit,exit_target,slippage,mode,trades,win_rate,target_hit_rate,avg_pnl,median_pnl,total_pnl,profit_factor,avg_return_on_max_risk,worst_trade,max_drawdown,longest_losing_streak,missing_next_minute
2,5.0,2.0,0.0,touch,643,0.7713841368584758,0.7698289269051322,3190.35259720062,6147.039999999989,2051396.720000006,2.4988631301526265,0.31705627149134513,-10552.959999999943,104053.6000000001,6,0
2,5.0,2.0,0.05,next_minute,643,0.6376360808709176,0.7402799377916018,309.55944012442035,3147.039999999978,199046.72000000265,1.1107174672401139,0.030808168126834432,-10652.959999999943,124253.5999999999,6,18
2,5.0,2.0,0.05,persist_2,643,0.6423017107309487,0.6283048211508554,853.3386003110434,5947.039999999996,548696.7200000007,1.252270781636755,0.08412535002392754,-10852.95999999993,107041.44000000003,9,0
2,5.0,2.0,0.05,persist_3,643,0.6205287713841369,0.6034214618973561,517.2577293934703,5947.04,332596.7200000015,1.1438646626943438,0.051239120515186885,-10852.95999999993,128278.24000000005,10,0
2,5.0,2.0,0.05,touch,643,0.7698289269051322,0.7682737169517885,3053.6496423017097,6047.040000000026,1963496.7200000058,2.403712791147045,0.30051669173637763,-10652.959999999943,108853.6000000001,6,0
2,5.0,2.0,0.1,next_minute,643,0.6283048211508554,0.7325038880248833,132.187744945571,2947.0400000000204,84996.72000000214,1.0453749639175112,0.013286738176815952,-10752.959999999941,130637.11999999949,10,18
2,5.0,2.0,0.1,persist_2,643,0.6391912908242613,0.6251944012441679,678.1441990668757,5847.039999999984,436046.72000000137,1.1959904365476384,0.06625583847055723,-10952.95999999993,122782.79999999981,9,0
2,5.0,2.0,0.1,persist_3,643,0.6174183514774495,0.6018662519440124,368.50189735614555,5847.039999999997,236946.72000000186,1.1006237971903126,0.03635334884929021,-10952.95999999993,139278.23999999996,10,0
2,5.0,2.0,0.1,touch,643,0.7636080870917574,0.76049766718507,2831.099097978226,5947.04000000002,1820396.7200000053,2.247616215344604,0.275919966683674,-10752.959999999941,111953.60000000006,6,0
2,5.0,2.0,0.15,next_minute,643,0.6267496111975117,0.7325038880248833,60.95912908242774,2947.0399999999654,39196.72000000094,1.020611840053047,0.006106728419219556,-10852.959999999943,139706.47999999992,10,18
2,5.0,2.0,0.15,persist_2,643,0.6376360808709176,0.6205287713841369,541.0524416796269,5747.040000000005,347896.72000000026,1.1538828326569575,0.05216972283752444,-11052.959999999932,150932.80000000008,9,0
2,5.0,2.0,0.15,persist_3,643,0.6127527216174183,0.5956454121306376,166.32460342146308,5747.039999999998,106946.72000000085,1.0443332412621813,0.01622723592852218,-11052.959999999932,197710.08000000002,10,0
2,5.0,2.0,0.15,touch,643,0.7636080870917574,0.76049766718507,2707.3043856920654,5847.040000000014,1740796.7200000035,2.177487022591299,0.26133066912054975,-10852.959999999943,115153.60000000006,6,0
2,5.0,2.0,0.25,next_minute,643,0.6080870917573873,0.7231726283048211,-258.3254743390336,2647.0399999999886,-166103.27999999814,0.9171511706203748,-0.024161698883300876,-11052.959999999943,243842.79999999865,10,18
2,5.0,2.0,0.25,persist_2,643,0.6267496111975117,0.609642301710731,101.86115085536615,5447.040000000071,65496.72000000138,1.0274267434776838,0.009591969517360155,-11252.95999999993,266760.3999999994,9,0
2,5.0,2.0,0.25,persist_3,643,0.6080870917573873,0.5894245723172629,-159.33636080870718,5547.039999999965,-102453.27999999792,0.9591134780042326,-0.014947255828295924,-11252.95999999993,257110.07999999967,10,0
2,5.0,2.0,0.25,touch,643,0.7542768273716952,0.7511664074650077,2290.8191601866224,5647.039999999992,1472996.7200000014,1.9382636674300109,0.2170445784230604,-11052.959999999943,123953.59999999982,6,0
2,5.0,3.0,0.0,next_minute,643,0.6516329704510109,0.8413685847589425,111.97001555210187,1447.04,71996.72000000149,1.0587194798939616,0.011710248464104492,-10552.959999999943,79960.80000000013,6,23
2,5.0,3.0,0.0,persist_2,643,0.7340590979782271,0.7231726283048211,1048.6729704510121,4047.0400000000227,674296.720000001,1.4211705968701676,0.10409340570071994,-10552.959999999943,91465.11999999991,5,0
2,5.0,3.0,0.0,persist_3,643,0.7013996889580093,0.6889580093312597,601.8611508553669,4147.03999999996,386996.7200000009,1.2157751697791492,0.060050043350475896,-10552.959999999943,105265.11999999992,6,0
2,5.0,3.0,0.0,touch,643,0.8755832037325039,0.8771384136858476,3285.0648833592545,4347.040000000005,2112296.720000007,3.879016932020601,0.32669643206157967,-10552.959999999943,46812.16000000003,3,0
2,5.0,3.0,0.05,next_minute,643,0.6267496111975117,0.8351477449455676,-103.1932814929981,1247.0400000000006,-66353.27999999773,0.9493316383116083,-0.009628567659217362,-10652.959999999943,104909.03999999791,7,21
2,5.0,3.0,0.05,persist_2,643,0.7200622083981337,0.7091757387247278,799.3728149300182,4047.0399999999836,513996.7200000016,1.3020342666526037,0.0786911015724817,-10652.959999999943,107965.11999999988,6,0
2,5.0,3.0,0.05,persist_3,643,0.6951788491446346,0.6827371695178849,470.44590979782475,4147.039999999964,302496.72000000137,1.1629717174575807,0.04666011511081622,-10852.95999999993,118300.63999999982,6,0
